Longitude,Latitude,Buildings
43.2543044,-11.6931255,469566
44.3942831,-12.1688460,267
43.2746660,-11.7199316,227328
43.2717536,-11.6633441,113820
43.3220221,-11.5600257,9
44.4371606,-12.3098998,0
44.5063393,-12.3764349,0
43.2930126,-11.3888547,836
43.6740340,-12.2680605,3
43.7064096,-12.2689390,6
43.6330827,-12.2806050,2350
43.6328045,-12.2908374,3479
44.3665058,-12.2427614,0
44.3738095,-12.2481055,0
44.3868488,-12.2542262,0
44.5263641,-12.2753593,240
44.4195781,-12.2865703,18
44.4357152,-12.1599178,81
43.3770624,-11.8499805,1520
43.4807388,-11.8800784,76
43.5062231,-11.8865711,76
43.4540567,-11.9112390,72
43.4979651,-11.9135062,216
43.4907710,-11.9247875,500
43.4356978,-11.7959450,112
43.4542626,-11.7877563,891
43.2872361,-11.4870208,42
43.2787077,-11.4910236,42
43.2724769,-11.4690325,36
43.2767910,-11.4476500,0
43.2690474,-11.4351724,0
43.3618274,-11.3715503,56
43.3934696,-11.3902679,1345
43.3960288,-11.4314198,0
43.4056931,-11.4424736,0
43.3878065,-11.4667285,4764
43.3877450,-11.4709780,4776
43.3878083,-11.4811466,9095
43.4013507,-11.4596896,4236
43.3868104,-11.5059996,10489
43.3877436,-11.5455356,1416
43.3918662,-11.6213561,16172
43.3956701,-11.6464791,4330
43.4515954,-11.7632851,5454
43.4548201,-11.8278645,222
43.3937970,-11.4754035,4992
43.2777104,-11.6759846,241692
43.3858439,-11.5864172,22230
43.4464571,-11.8549783,468
43.2504262,-11.7390992,92176
43.2748593,-11.6851770,377074
43.2853420,-11.6614195,87490
43.2845126,-11.6513186,68928
43.2945036,-11.6428324,21090
43.2755297,-11.6486270,59796
43.2621745,-11.7184486,425997
43.2697992,-11.6993776,532016
43.2321538,-11.7462387,7935
43.2523717,-11.7671406,3212
43.2436335,-11.7589678,3945
43.2462882,-11.7747038,445
43.2649358,-11.7777033,1015
43.2772945,-11.7741939,351
43.2719588,-11.7691720,630
43.2708659,-11.7855211,3025
43.2743263,-11.7938230,6608
43.2810122,-11.8129215,14000
43.3655926,-11.6222256,31520
43.3022349,-11.4001499,812
43.2941378,-11.4020466,624
43.3050624,-11.4212636,27
43.2983679,-11.4242569,42
43.3249831,-11.4669826,0
43.3259914,-11.4796887,0
43.2857562,-11.6117233,17192
43.2627060,-11.6164592,16870
43.2766194,-11.5885760,6144
43.2881193,-11.5831413,7735
43.2867484,-11.5664557,10654
43.2873857,-11.5775436,9373
43.3871962,-11.5400807,3630
43.3851737,-11.5234957,15498
43.3874836,-11.5124270,10472
43.3141286,-11.3840893,1188
43.4536995,-11.8900801,36
43.4755418,-11.8910295,32
43.4242587,-11.8923212,16
43.4705912,-11.8964094,42
43.4701705,-11.9190778,450
43.3495099,-11.8528894,40
43.3131564,-11.8362673,12800
43.8009302,-12.3691110,0
43.8008030,-12.3427047,0
43.7805116,-12.3392664,0
43.3774739,-11.8589411,1520
43.4680040,-11.8697282,324
43.4748452,-11.8734286,32
43.3932323,-11.8746048,321
43.4027092,-11.8762117,0
43.4321459,-11.8808683,16
43.4620521,-11.8833369,24
43.4048261,-11.8869569,0
43.2514089,-11.7145432,452390
43.2883110,-11.8438376,17136
43.8678657,-12.3698839,6
43.8389949,-12.3783584,0
43.8229488,-12.3497985,0
44.2346362,-12.1916668,0
44.2513425,-12.1938521,21
44.2631736,-12.2021585,21
44.2708162,-12.1979978,21
43.3984576,-11.5035445,10421
44.4135321,-12.2820255,27
44.4106854,-12.2659801,27
44.4994958,-12.3121605,40
43.2641798,-11.6757211,301846
43.3976859,-11.4895819,17460
43.3722602,-11.5860109,19674
43.3700067,-11.6047970,58144
