x,y,n,label
6,1078,50.0,2
8,1317,50.0,2
9,249,50.0,5
16,65,50.0,5
40,839,50.0,2
50,999,50.0,2
69,715,50.0,2
69,714,50.0,2
95,1327,50.0,2
108,1361,50.0,2
125,1375,50.0,2
127,713,50.0,2
140,437,50.0,5
150,149,50.0,5
154,1094,50.0,2
188,578,50.0,5
190,646,50.0,5
224,14,50.0,5
238,833,50.0,2
279,552,50.0,5
286,488,50.0,5
305,407,50.0,5
311,366,50.0,5
316,1505,50.0,4
320,809,50.0,2
325,1085,50.0,2
331,460,50.0,5
336,967,50.0,2
351,1122,50.0,2
360,65,50.0,5
373,1291,50.0,4
377,351,50.0,5
388,235,50.0,5
404,1318,50.0,4
426,1055,50.0,2
446,597,50.0,5
448,927,50.0,2
451,522,50.0,5
479,1158,50.0,4
505,680,50.0,0
507,1266,50.0,4
540,725,50.0,0
545,1415,50.0,4
552,1048,50.0,2
558,352,50.0,5
558,190,50.0,0
566,209,50.0,0
572,482,50.0,5
573,164,50.0,0
599,1414,50.0,4
606,1490,50.0,4
613,737,50.0,0
617,197,50.0,0
633,662,50.0,0
653,1266,50.0,4
684,729,50.0,0
693,292,50.0,0
747,792,50.0,0
779,871,50.0,0
779,443,50.0,0
808,227,50.0,0
813,1408,50.0,4
841,1443,50.0,4
842,397,50.0,0
856,100,50.0,0
858,1119,50.0,3
892,803,50.0,0
897,152,50.0,0
932,446,50.0,1
982,622,50.0,1
994,474,50.0,1
1001,640,50.0,1
1010,1002,50.0,3
1060,1317,50.0,3
1063,516,50.0,1
1085,520,50.0,1
1095,911,50.0,3
1110,1006,50.0,3
1132,281,50.0,1
1151,1255,50.0,3
1183,663,50.0,1
1208,294,50.0,1
1241,1183,50.0,3
1259,1102,50.0,3
1260,1487,50.0,3
1270,1088,50.0,3
1287,1281,50.0,3
1304,884,50.0,3
1306,210,50.0,1
1308,565,50.0,1
1310,288,50.0,1
1311,127,50.0,1
1350,498,50.0,1
1371,1028,50.0,3
1375,32,50.0,1
1384,1449,50.0,3
1386,1345,50.0,3
1420,1142,50.0,3
1436,1427,50.0,3
1474,931,50.0,3
1504,1048,50.0,3
