Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,489.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,489.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,491.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,491.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,491.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,491.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,491.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,490.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,492.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,493.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,491.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,491.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,490.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,492.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,490.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,492.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,491.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,492.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,492.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,491.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,492.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,492.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,493.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,495.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,493.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,492.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,493.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,492.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,493.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,494.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,494.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,493.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,494.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,495.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,495.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,494.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,493.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
