Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,640.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,641.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,642.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,642.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,644.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,645.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,645.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,645.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,645.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,646.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,647.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,646.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,645.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,645.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,645.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,645.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,644.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,647.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,646.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,645.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,646.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,647.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,646.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,648.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,647.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,646.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,647.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,646.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,647.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,647.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,649.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,646.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,643.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,644.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,644.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,646.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,645.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,645.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,645.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,644.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,646.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,644.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,643.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,642.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,643.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,644.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,643.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,643.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,642.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,643.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,642.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,643.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,645.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,643.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,644.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,643.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,645.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,644.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,644.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,645.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,645.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,646.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,648.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,648.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,647.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,647.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,647.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,647.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,647.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,646.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,648.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,648.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,647.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,647.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,647.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,646.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,647.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,647.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,647.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,646.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,646.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,645.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,646.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,644.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,645.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,647.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,647.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,648.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,648.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,647.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,647.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,646.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,645.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,645.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,646.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,647.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,646.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,644.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,646.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,645.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,646.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,646.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,645.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,644.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,644.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,647.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,646.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,646.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,645.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,645.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,647.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,648.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,646.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,647.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,646.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,649.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,648.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,648.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,648.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,647.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,647.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,647.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,646.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,647.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,647.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,646.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,646.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,645.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,646.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,646.58,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
133,646.42,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
134,647.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
135,647.84,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
136,649.09,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
137,650.34,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
138,650.94,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
139,650.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,649.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,647.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,647.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,646.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,647.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,646.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,647.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,646.89,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
148,645.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,645.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,645.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,646.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,648.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
