Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,460.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,460.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,458.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,457.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,457.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,458.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,458.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,458.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,458.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,458.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,458.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,458.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,458.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,460.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,461.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,462.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,463.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,463.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,465.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,464.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,464.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,462.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,463.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,462.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,463.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,462.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,462.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,463.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,462.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,462.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,461.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,462.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,461.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,461.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,461.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,462.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,462.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,461.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,461.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,461.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,461.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,461.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,460.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,460.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,459.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,461.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,461.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,460.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,459.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,461.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,460.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,460.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,460.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,462.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,462.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,461.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,458.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,460.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,461.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,461.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,462.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,461.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,461.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,461.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,461.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,460.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,460.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,461.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,460.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,459.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,459.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,460.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,459.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,459.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,458.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,458.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,456.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,458.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,458.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,459.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,460.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,460.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,459.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,457.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,459.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,457.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,456.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,456.62,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
92,459.17,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
93,458.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,458.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,459.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,459.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,459.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,460.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,460.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,460.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
